allEarningsAmountInWei,endTimestamp,startTimestamp,entityId,entityType,entitySymbol
44582807431675990000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,4482,USER,fid:4482
26366516860851816000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,7464,USER,fid:7464
1107272957772128600000,2024-08-12T08:10:00Z,2024-07-29T04:40:00Z,20,USER,fid:20
27031802572043266000000,2024-08-12T20:20:00Z,2024-07-29T00:30:00Z,8451,USER,fid:8451
68254469396432340000000,2024-08-12T17:40:00Z,2024-07-31T07:30:00Z,72,USER,fid:72
1793554655812751500000,2024-08-12T16:00:00Z,2024-07-29T12:40:00Z,293719,USER,fid:293719
16759333462167668000000,2024-08-12T20:20:00Z,2024-07-30T00:40:00Z,478906,USER,fid:478906
50559501795100730000000,2024-08-12T20:20:00Z,2024-07-29T01:00:00Z,3895,USER,fid:3895
4725191951943008000000,2024-08-12T18:10:00Z,2024-07-29T00:10:00Z,193158,USER,fid:193158
7285107355553626000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,18910,USER,fid:18910
330235237850221000000000,2024-08-12T20:20:00Z,2024-07-29T00:03:00Z,446697,USER,fid:446697
146787990808504020000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,3642,USER,fid:3642
104468438161548950000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,308536,USER,fid:308536
8154207510123801000000,2024-08-12T20:00:00Z,2024-07-29T04:10:00Z,762,USER,fid:762
155088249099301950000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,1325,USER,fid:1325
8624912716970934000000,2024-08-12T20:00:00Z,2024-07-29T00:10:00Z,210628,USER,fid:210628
193563087235748860000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,2745,USER,fid:2745
99878653698140320000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,412843,USER,fid:412843
50600254136180880000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,7097,USER,fid:7097
75017201718203410000000,2024-08-12T20:00:00Z,2024-07-29T00:30:00Z,4085,USER,fid:4085
63476616245164960000000,2024-08-12T19:50:00Z,2024-07-29T06:10:00Z,1048,USER,fid:1048
92639082734455200000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,397392,USER,fid:397392
4957882417892783000000,2024-08-12T13:30:00Z,2024-07-29T04:30:00Z,196149,USER,fid:196149
20150991175988973000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,10144,USER,fid:10144
5002141886532767000000,2024-08-12T20:20:00Z,2024-07-29T00:40:00Z,2163,USER,fid:2163
4124457358794858400000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,262938,USER,fid:262938
46134088219386780000000,2024-08-12T19:10:00Z,2024-07-29T00:10:00Z,285462,USER,fid:285462
305575340269696200000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,2,USER,fid:2
820346968914788600000,2024-08-12T20:00:00Z,2024-07-29T00:40:00Z,281289,USER,fid:281289
189450225906274500000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,426,USER,fid:426
81680601549733210000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,1918,USER,fid:1918
98569903062282700000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,323251,USER,fid:323251
226964308733646000000,2024-08-12T12:01:00Z,2024-07-29T00:50:00Z,2391,USER,fid:2391
17877748267326435000000,2024-08-12T19:40:00Z,2024-07-29T00:10:00Z,2480,USER,fid:2480
2475671113203009000000,2024-08-12T20:20:00Z,2024-07-29T03:30:00Z,459385,USER,fid:459385
7404772566871274000000,2024-08-12T17:50:00Z,2024-07-29T00:30:00Z,439396,USER,fid:439396
125809849229041520000000,2024-08-12T20:00:00Z,2024-07-29T00:30:00Z,8,USER,fid:8
93717360180485800000000,2024-08-12T18:20:00Z,2024-07-29T00:10:00Z,6806,USER,fid:6806
793043266946881000000,2024-08-12T02:10:00Z,2024-07-29T01:20:00Z,1471,USER,fid:1471
21695960655279660000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,296687,USER,fid:296687
271787327429080700000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,270504,USER,fid:270504
45028235056007320000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,4905,USER,fid:4905
6431384419648740000000,2024-08-12T18:30:00Z,2024-07-29T00:30:00Z,4715,USER,fid:4715
11766294247458338000000,2024-08-12T19:50:00Z,2024-07-29T00:20:00Z,4461,USER,fid:4461
76998849647461990000,2024-08-12T20:10:00Z,2024-07-29T01:00:00Z,354669,USER,fid:354669
265636042553810600000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,534,USER,fid:534
72077291820718520000000,2024-08-12T20:10:00Z,2024-07-29T00:20:00Z,4327,USER,fid:4327
4685600250952903300000,2024-08-12T18:50:00Z,2024-07-29T12:10:00Z,4513,USER,fid:4513
3574971925158000000,2024-08-12T01:20:00Z,2024-07-29T03:30:00Z,1886,USER,fid:1886
24381922272313724000000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,7418,USER,fid:7418
6734621721488000000,2024-08-07T12:50:00Z,2024-07-29T03:00:00Z,410943,USER,fid:410943
38775631668719230000000,2024-08-12T19:10:00Z,2024-07-29T01:40:00Z,1236,USER,fid:1236
145536661248185750000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,129,USER,fid:129
46614459765316180000000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,221578,USER,fid:221578
17296269131849673000000,2024-08-12T20:00:00Z,2024-07-29T02:00:00Z,225,USER,fid:225
11902194202929298000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,3652,USER,fid:3652
142788890455503130000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,302556,USER,fid:302556
1198344273532937000000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,3,USER,fid:3
65322556213362155000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,13874,USER,fid:13874
23659549605496820000000,2024-08-12T18:00:00Z,2024-07-29T00:40:00Z,207,USER,fid:207
1421514632334975000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,211205,USER,fid:211205
582427704573289500000,2024-08-12T19:40:00Z,2024-07-29T01:50:00Z,328757,USER,fid:328757
14931715316825677000000,2024-08-12T19:10:00Z,2024-07-29T00:30:00Z,379089,USER,fid:379089
930117546915514000000,2024-08-12T07:20:00Z,2024-07-29T00:50:00Z,251,USER,fid:251
41023908255304120000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,14351,USER,fid:14351
7057713445474638000000,2024-08-12T20:20:00Z,2024-07-29T00:30:00Z,8405,USER,fid:8405
1610842817126628000000,2024-08-12T20:20:00Z,2024-07-29T00:50:00Z,315256,USER,fid:315256
5610870521075962000000,2024-08-12T15:50:00Z,2024-07-29T00:20:00Z,418456,USER,fid:418456
65093012529953180000000,2024-08-12T20:10:00Z,2024-07-29T01:00:00Z,301340,USER,fid:301340
12851333210950007000000,2024-08-12T17:40:00Z,2024-07-29T00:20:00Z,258848,USER,fid:258848
236775495208762440000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,436577,USER,fid:436577
6760392539028536000000,2024-08-12T19:40:00Z,2024-07-29T00:40:00Z,245579,USER,fid:245579
92697191020901700000000,2024-08-12T19:00:00Z,2024-07-29T04:00:00Z,12256,USER,fid:12256
26035691173799363000000,2024-08-12T20:20:00Z,2024-07-29T00:40:00Z,320215,USER,fid:320215
26509392513663410000000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,309567,USER,fid:309567
663247066134422000000,2024-08-12T20:20:00Z,2024-07-29T01:10:00Z,193930,USER,fid:193930
169783437282237500000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,8447,USER,fid:8447
112009422230329170000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,269694,USER,fid:269694
171085718129079940000000,2024-08-12T20:20:00Z,2024-07-29T01:30:00Z,247143,USER,fid:247143
3503532001502269000000,2024-08-12T04:40:00Z,2024-07-29T02:16:00Z,490435,USER,fid:490435
3686774324932238600000,2024-08-12T20:20:00Z,2024-07-29T01:40:00Z,2252,USER,fid:2252
27977118108188733000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,268455,USER,fid:268455
53834446315648700000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,408746,USER,fid:408746
15237177603465690000000,2024-08-12T18:50:00Z,2024-07-29T00:20:00Z,1068,USER,fid:1068
48863356067967150000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,5650,USER,fid:5650
69165247187461170000000,2024-08-12T18:40:00Z,2024-07-29T02:40:00Z,541292,USER,fid:541292
148169967048452730000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,1606,USER,fid:1606
10853236984534660000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,213310,USER,fid:213310
121948386074503900000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,784003,USER,fid:784003
71984851097673900000000,2024-08-12T20:10:00Z,2024-07-29T00:30:00Z,281676,USER,fid:281676
313685751564900100000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,414955,USER,fid:414955
31198074921019510000000,2024-08-12T20:00:00Z,2024-07-29T00:10:00Z,456735,USER,fid:456735
104009460563883800000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,280,USER,fid:280
29310118232176667000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,211693,USER,fid:211693
23772853775055406000000,2024-08-12T20:00:00Z,2024-07-29T00:20:00Z,193928,USER,fid:193928
119525391052883600000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,308045,USER,fid:308045
14812028717267501000,2024-08-12T12:20:00Z,2024-07-29T12:50:00Z,2923,USER,fid:2923
78502172664440800000000,2024-08-12T20:00:00Z,2024-07-29T01:30:00Z,4256,USER,fid:4256
59856813178093200000000,2024-08-12T19:50:00Z,2024-07-29T00:10:00Z,516028,USER,fid:516028
109705221878606930000000,2024-08-12T20:00:00Z,2024-07-29T00:10:00Z,237884,USER,fid:237884
54477056859189535000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,2210,USER,fid:2210
814695274999782000000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,253127,USER,fid:253127
9484904552078120000000,2024-08-12T12:20:00Z,2024-07-29T03:40:00Z,16405,USER,fid:16405
53930509787032420000000,2024-08-12T20:20:00Z,2024-07-29T00:50:00Z,378,USER,fid:378
10282492457412250000000,2024-08-12T19:20:00Z,2024-07-29T01:30:00Z,8998,USER,fid:8998
20383027526079660000000,2024-08-12T20:00:00Z,2024-07-29T01:50:00Z,3112,USER,fid:3112
98020652234845610000000,2024-08-12T20:00:00Z,2024-07-29T00:20:00Z,616,USER,fid:616
234556142003346760000000,2024-08-12T20:20:00Z,2024-07-29T00:40:00Z,420540,USER,fid:420540
23709325540289235000000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,230147,USER,fid:230147
309016941335975240000000,2024-08-12T20:10:00Z,2024-07-29T00:20:00Z,1407,USER,fid:1407
16338305738921550000000,2024-08-12T17:30:00Z,2024-07-29T00:10:00Z,469678,USER,fid:469678
40793430916927460000000,2024-08-12T20:00:00Z,2024-07-29T01:00:00Z,771,USER,fid:771
18274655201430742000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,327165,USER,fid:327165
81089921561873000000000,2024-08-12T20:10:00Z,2024-07-29T00:20:00Z,276562,USER,fid:276562
1365068584123447600000,2024-08-12T20:00:00Z,2024-07-29T00:40:00Z,311845,USER,fid:311845
4240867842296411300000,2024-08-12T17:00:00Z,2024-07-29T02:10:00Z,212556,USER,fid:212556
41556534714664940000000,2024-08-12T20:20:00Z,2024-07-29T00:30:00Z,5701,USER,fid:5701
27847823428341390000000,2024-08-12T20:10:00Z,2024-07-29T00:40:00Z,9856,USER,fid:9856
119251386570790350000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,2802,USER,fid:2802
126027143841672540000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,99,USER,fid:99
7685298778741179000000,2024-08-12T19:20:00Z,2024-07-29T06:00:00Z,478308,USER,fid:478308
17413160475262000000,2024-08-10T22:40:00Z,2024-07-29T00:50:00Z,599368,USER,fid:599368
29658045733565293000000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,12048,USER,fid:12048
15207176694846636000000,2024-08-12T13:20:00Z,2024-07-29T06:40:00Z,43,USER,fid:43
20450357292676390000000,2024-08-12T19:10:00Z,2024-07-29T02:50:00Z,18,USER,fid:18
13455599743740697000000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,9816,USER,fid:9816
5969271637108830000000,2024-08-12T20:10:00Z,2024-07-29T00:20:00Z,12921,USER,fid:12921
15302899963293617000000,2024-08-12T20:10:00Z,2024-07-29T00:10:00Z,5181,USER,fid:5181
18866224418320330000000,2024-08-12T12:30:00Z,2024-07-29T00:10:00Z,56,USER,fid:56
7725427032106699000000,2024-08-12T14:50:00Z,2024-07-29T12:40:00Z,372323,USER,fid:372323
21258151999496640000000,2024-08-12T19:50:00Z,2024-07-29T08:20:00Z,25,USER,fid:25
74032805313843090000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,326040,USER,fid:326040
36175603400272725000000,2024-08-12T19:50:00Z,2024-07-29T01:10:00Z,426045,USER,fid:426045
403894592961774840000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,6596,USER,fid:6596
21207531856508624000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,285998,USER,fid:285998
328238720442984700000000,2024-08-12T20:20:00Z,2024-07-29T00:30:00Z,3621,USER,fid:3621
144717032615055860000000,2024-08-12T18:50:00Z,2024-07-29T00:20:00Z,3635,USER,fid:3635
21935750383586316000000,2024-08-12T20:20:00Z,2024-07-29T01:10:00Z,4179,USER,fid:4179
35524678174097363000000,2024-08-12T19:20:00Z,2024-07-29T00:10:00Z,297319,USER,fid:297319
649992849054157000000,2024-08-12T17:30:00Z,2024-07-29T01:50:00Z,5309,USER,fid:5309
2573951472352189000000,2024-08-10T11:10:00Z,2024-07-29T00:50:00Z,406157,USER,fid:406157
13826581658120688000000,2024-08-12T19:30:00Z,2024-07-29T00:30:00Z,17940,USER,fid:17940
